location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
みなかみ,2025-06-16T09:00:00+09:00,2025-06-15T17:49:01.357852+09:00,25.0,,,cloudy,くもり,0.0,72.0,1.0,"{'weather_code': '200', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
みなかみ,2025-06-15T17:00:00+09:00,2025-06-15T17:49:01.384719+09:00,26.0,,,cloudy,くもり,0.0,77.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
みなかみ,2025-06-15T18:00:00+09:00,2025-06-15T17:49:01.385585+09:00,24.0,,,cloudy,くもり,0.0,90.0,3.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
みなかみ,2025-06-15T19:00:00+09:00,2025-06-15T17:49:01.386416+09:00,23.0,,,cloudy,くもり,0.0,92.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
みなかみ,2025-06-15T20:00:00+09:00,2025-06-15T17:49:01.388395+09:00,23.0,,,cloudy,くもり,0.0,92.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
みなかみ,2025-06-15T21:00:00+09:00,2025-06-15T17:49:01.389276+09:00,22.0,,,cloudy,くもり,0.0,93.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
みなかみ,2025-06-15T22:00:00+09:00,2025-06-15T17:49:01.391078+09:00,21.0,,,cloudy,くもり,0.0,93.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
みなかみ,2025-06-15T23:00:00+09:00,2025-06-15T17:49:01.393133+09:00,21.0,,,cloudy,くもり,0.0,94.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
みなかみ,2025-06-16T00:00:00+09:00,2025-06-15T17:49:01.394387+09:00,20.0,,,cloudy,くもり,0.0,93.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
みなかみ,2025-06-16T01:00:00+09:00,2025-06-15T17:49:01.396215+09:00,20.0,,,cloudy,くもり,0.0,93.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
