location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
むつ,2025-06-16T06:00:00+09:00,2025-06-15T17:35:38.925344+09:00,17.0,,,cloudy,くもり,0.0,96.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
むつ,2025-06-15T17:00:00+09:00,2025-06-15T17:35:38.926412+09:00,20.9,,,cloudy,くもり,0.0,89.0,2.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
むつ,2025-06-15T18:00:00+09:00,2025-06-15T17:35:38.926823+09:00,20.0,,,cloudy,くもり,0.0,88.0,1.0,"{'weather_code': '200', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
むつ,2025-06-15T19:00:00+09:00,2025-06-15T17:35:38.927216+09:00,19.0,,,cloudy,くもり,0.0,90.0,2.0,"{'weather_code': '200', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
むつ,2025-06-15T20:00:00+09:00,2025-06-15T17:35:38.927739+09:00,18.0,,,cloudy,くもり,0.0,93.0,2.0,"{'weather_code': '200', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
むつ,2025-06-15T21:00:00+09:00,2025-06-15T17:35:38.928664+09:00,18.0,,,cloudy,くもり,0.0,95.0,4.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
むつ,2025-06-15T22:00:00+09:00,2025-06-15T17:35:38.929551+09:00,18.0,,,cloudy,くもり,0.0,96.0,3.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
むつ,2025-06-15T23:00:00+09:00,2025-06-15T17:35:38.930224+09:00,17.0,,,cloudy,くもり,0.0,96.0,3.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
むつ,2025-06-16T00:00:00+09:00,2025-06-15T17:35:38.931145+09:00,17.0,,,cloudy,くもり,0.0,97.0,2.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
むつ,2025-06-16T01:00:00+09:00,2025-06-15T17:35:38.933065+09:00,17.0,,,cloudy,くもり,0.0,97.0,1.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
