location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
久米島,2025-06-16T07:00:00+09:00,2025-06-15T18:57:37.754960+09:00,28.0,,,clear,晴れ,0.0,87.0,9.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-15T18:00:00+09:00,2025-06-15T18:57:37.757621+09:00,29.9,,,clear,晴れ,0.0,82.0,5.2,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-15T19:00:00+09:00,2025-06-15T18:57:37.762370+09:00,29.0,,,clear,晴れ,0.0,88.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-15T20:00:00+09:00,2025-06-15T18:57:37.765461+09:00,29.0,,,clear,晴れ,0.0,88.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-15T21:00:00+09:00,2025-06-15T18:57:37.770469+09:00,29.0,,,clear,晴れ,0.0,89.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-15T22:00:00+09:00,2025-06-15T18:57:37.772216+09:00,29.0,,,clear,晴れ,0.0,88.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-15T23:00:00+09:00,2025-06-15T18:57:37.773767+09:00,28.0,,,clear,晴れ,0.0,88.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T00:00:00+09:00,2025-06-15T18:57:37.775925+09:00,28.0,,,cloudy,うすぐもり,0.0,88.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T01:00:00+09:00,2025-06-15T18:57:37.777905+09:00,28.0,,,cloudy,うすぐもり,0.0,88.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T02:00:00+09:00,2025-06-15T18:57:37.780498+09:00,28.0,,,cloudy,うすぐもり,0.0,88.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T03:00:00+09:00,2025-06-15T18:57:37.786885+09:00,28.0,,,cloudy,うすぐもり,0.0,88.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T04:00:00+09:00,2025-06-15T18:57:37.789872+09:00,28.0,,,cloudy,うすぐもり,0.0,88.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T05:00:00+09:00,2025-06-15T18:57:37.792159+09:00,28.0,,,clear,晴れ,0.0,88.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T06:00:00+09:00,2025-06-15T18:57:37.793907+09:00,28.0,,,clear,晴れ,0.0,88.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T07:00:00+09:00,2025-06-15T18:57:37.796200+09:00,28.0,,,clear,晴れ,0.0,87.0,9.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T08:00:00+09:00,2025-06-15T18:57:37.798928+09:00,29.0,,,clear,晴れ,0.0,86.0,9.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T09:00:00+09:00,2025-06-15T18:57:37.804013+09:00,30.0,,,clear,晴れ,0.0,86.0,9.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T10:00:00+09:00,2025-06-15T18:57:37.805484+09:00,30.0,,,clear,晴れ,0.0,85.0,9.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T11:00:00+09:00,2025-06-15T18:57:37.807386+09:00,31.0,,,clear,晴れ,0.0,85.0,9.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T12:00:00+09:00,2025-06-15T18:57:37.809255+09:00,32.0,,,clear,晴れ,0.0,84.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T13:00:00+09:00,2025-06-15T18:57:37.812035+09:00,32.0,,,clear,晴れ,0.0,84.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T14:00:00+09:00,2025-06-15T18:57:37.819431+09:00,33.0,,,clear,晴れ,0.0,84.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T15:00:00+09:00,2025-06-15T18:57:37.820996+09:00,32.0,,,clear,晴れ,0.0,84.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T16:00:00+09:00,2025-06-15T18:57:37.822218+09:00,32.0,,,clear,晴れ,0.0,85.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T17:00:00+09:00,2025-06-15T18:57:37.823903+09:00,31.0,,,clear,晴れ,0.0,85.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T18:00:00+09:00,2025-06-15T18:57:37.825354+09:00,30.0,,,clear,晴れ,0.0,86.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T19:00:00+09:00,2025-06-15T18:57:37.826874+09:00,29.0,,,clear,晴れ,0.0,87.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T20:00:00+09:00,2025-06-15T18:57:37.828379+09:00,29.0,,,clear,晴れ,0.0,88.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T21:00:00+09:00,2025-06-15T18:57:37.830165+09:00,29.0,,,clear,晴れ,0.0,88.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T22:00:00+09:00,2025-06-15T18:57:37.831971+09:00,29.0,,,clear,晴れ,0.0,88.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-16T23:00:00+09:00,2025-06-15T18:57:37.835534+09:00,29.0,,,clear,晴れ,0.0,87.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
久米島,2025-06-17T00:00:00+09:00,2025-06-15T18:57:37.837346+09:00,28.0,,,clear,晴れ,0.0,88.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
