location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
八丈島,2025-06-16T06:00:00+09:00,2025-06-15T17:48:50.736459+09:00,23.0,,,cloudy,くもり,0.0,97.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
八丈島,2025-06-15T17:00:00+09:00,2025-06-15T17:48:50.738562+09:00,23.9,,,cloudy,くもり,0.0,100.0,5.2,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
八丈島,2025-06-15T18:00:00+09:00,2025-06-15T17:48:50.739930+09:00,23.0,,,cloudy,くもり,0.0,94.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
八丈島,2025-06-15T19:00:00+09:00,2025-06-15T17:48:50.741140+09:00,23.0,,,cloudy,くもり,0.0,94.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
八丈島,2025-06-15T20:00:00+09:00,2025-06-15T17:48:50.742723+09:00,23.0,,,cloudy,くもり,0.0,94.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
八丈島,2025-06-15T21:00:00+09:00,2025-06-15T17:48:50.744802+09:00,23.0,,,cloudy,くもり,0.0,94.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
八丈島,2025-06-15T22:00:00+09:00,2025-06-15T17:48:50.746332+09:00,23.0,,,cloudy,くもり,0.0,95.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
八丈島,2025-06-15T23:00:00+09:00,2025-06-15T17:48:50.747979+09:00,23.0,,,cloudy,くもり,0.0,95.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
八丈島,2025-06-16T00:00:00+09:00,2025-06-15T17:48:50.749970+09:00,23.0,,,cloudy,くもり,0.0,96.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
八丈島,2025-06-16T01:00:00+09:00,2025-06-15T17:48:50.754130+09:00,23.0,,,cloudy,くもり,0.0,96.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
