location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
函館,2025-06-14T00:00:00+09:00,2025-06-13T11:16:29.998976+09:00,15.0,,,clear,晴れ,0.0,88.0,1.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-14T02:00:00+09:00,2025-06-13T13:41:35.364568+09:00,14.0,,,clear,晴れ,0.0,85.0,1.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-17T09:00:00+09:00,2025-06-16T18:26:26.513135+09:00,20.0,,,cloudy,くもり,0.0,94.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-16T18:00:00+09:00,2025-06-16T18:26:26.516567+09:00,20.4,,,cloudy,くもり,0.0,78.0,2.9,"{'weather_code': '200', 'wind_direction': 'west', 'wind_direction_degrees': 270, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-16T19:00:00+09:00,2025-06-16T18:26:26.518023+09:00,20.0,,,cloudy,くもり,0.0,93.0,2.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-16T20:00:00+09:00,2025-06-16T18:26:26.519782+09:00,20.0,,,cloudy,くもり,0.0,95.0,3.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-16T21:00:00+09:00,2025-06-16T18:26:26.521434+09:00,19.0,,,rain,雨,1.0,96.0,3.0,"{'weather_code': '300', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-16T22:00:00+09:00,2025-06-16T18:26:26.522941+09:00,19.0,,,rain,雨,1.0,97.0,2.0,"{'weather_code': '300', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-16T23:00:00+09:00,2025-06-16T18:26:26.525295+09:00,19.0,,,rain,雨,1.0,97.0,2.0,"{'weather_code': '300', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-17T00:00:00+09:00,2025-06-16T18:26:26.526994+09:00,18.0,,,rain,雨,1.0,98.0,2.0,"{'weather_code': '300', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-17T01:00:00+09:00,2025-06-16T18:26:26.528574+09:00,18.0,,,rain,雨,1.0,98.0,1.0,"{'weather_code': '300', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-17T02:00:00+09:00,2025-06-16T18:26:26.531737+09:00,18.0,,,cloudy,くもり,0.0,99.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
函館,2025-06-17T03:00:00+09:00,2025-06-16T18:26:26.533620+09:00,17.0,,,cloudy,くもり,0.0,99.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
