location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
前橋,2025-06-16T08:00:00+09:00,2025-06-15T17:49:00.910552+09:00,26.0,,,cloudy,うすぐもり,0.0,75.0,1.0,"{'weather_code': '600', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-15T17:00:00+09:00,2025-06-15T17:49:00.912424+09:00,30.8,,,rain,雨,3.0,61.0,1.9,"{'weather_code': '300', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-15T18:00:00+09:00,2025-06-15T17:49:00.913728+09:00,28.0,,,rain,雨,1.0,78.0,3.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-15T19:00:00+09:00,2025-06-15T17:49:00.914650+09:00,27.0,,,rain,雨,1.0,82.0,3.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-15T20:00:00+09:00,2025-06-15T17:49:00.916393+09:00,26.0,,,cloudy,くもり,0.0,83.0,3.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-15T21:00:00+09:00,2025-06-15T17:49:00.920157+09:00,26.0,,,cloudy,くもり,0.0,83.0,3.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-15T22:00:00+09:00,2025-06-15T17:49:00.920955+09:00,26.0,,,cloudy,くもり,0.0,82.0,3.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-15T23:00:00+09:00,2025-06-15T17:49:00.921997+09:00,25.0,,,cloudy,くもり,0.0,82.0,3.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-16T00:00:00+09:00,2025-06-15T17:49:00.922946+09:00,25.0,,,cloudy,うすぐもり,0.0,82.0,3.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-16T01:00:00+09:00,2025-06-15T17:49:00.924013+09:00,25.0,,,cloudy,うすぐもり,0.0,83.0,3.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-16T02:00:00+09:00,2025-06-15T17:49:00.925018+09:00,24.0,,,clear,晴れ,0.0,82.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-16T03:00:00+09:00,2025-06-15T17:49:00.925876+09:00,24.0,,,clear,晴れ,0.0,83.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-16T04:00:00+09:00,2025-06-15T17:49:00.927353+09:00,23.0,,,cloudy,うすぐもり,0.0,84.0,2.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-16T05:00:00+09:00,2025-06-15T17:49:00.928290+09:00,23.0,,,cloudy,うすぐもり,0.0,84.0,2.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
前橋,2025-06-16T06:00:00+09:00,2025-06-15T17:49:00.929116+09:00,23.0,,,clear,晴れ,0.0,80.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
