location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
千葉,2025-06-14T00:00:00+09:00,2025-06-13T11:08:08.169059+09:00,25.0,,,rain,くもりのち雨,0.0,0.0,0.0,"{'weather_code': '214', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
千葉,2025-06-14T02:00:00+09:00,2025-06-13T13:41:12.431923+09:00,19.0,,,cloudy,くもり,0.0,87.0,1.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
千葉,2025-06-16T01:00:00+09:00,2025-06-15T12:26:19.572053+09:00,24.0,,,cloudy,くもり,0.0,95.0,1.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
千葉,2025-06-15T12:00:00+09:00,2025-06-15T12:26:19.573450+09:00,28.0,,,cloudy,くもり,0.0,84.0,6.2,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
千葉,2025-06-15T13:00:00+09:00,2025-06-15T12:26:19.573937+09:00,29.0,,,cloudy,くもり,0.0,85.0,6.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
千葉,2025-06-15T14:00:00+09:00,2025-06-15T12:26:19.574337+09:00,29.0,,,cloudy,くもり,0.0,83.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
千葉,2025-06-15T15:00:00+09:00,2025-06-15T12:26:19.574769+09:00,29.0,,,cloudy,くもり,0.0,82.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
千葉,2025-06-15T16:00:00+09:00,2025-06-15T12:26:19.575227+09:00,28.0,,,cloudy,うすぐもり,0.0,82.0,4.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
千葉,2025-06-15T17:00:00+09:00,2025-06-15T12:26:19.575695+09:00,27.0,,,cloudy,うすぐもり,0.0,83.0,3.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
千葉,2025-06-15T18:00:00+09:00,2025-06-15T12:26:19.576213+09:00,27.0,,,cloudy,うすぐもり,0.0,85.0,3.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
