location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
名護,2025-06-16T11:00:00+09:00,2025-06-15T18:57:31.900839+09:00,31.0,,,cloudy,うすぐもり,0.0,75.0,7.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-15T18:00:00+09:00,2025-06-15T18:57:31.902664+09:00,29.4,,,clear,晴れ,0.0,79.0,2.7,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-15T19:00:00+09:00,2025-06-15T18:57:31.904505+09:00,29.0,,,clear,晴れ,0.0,85.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-15T20:00:00+09:00,2025-06-15T18:57:31.905837+09:00,29.0,,,clear,晴れ,0.0,87.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-15T21:00:00+09:00,2025-06-15T18:57:31.907322+09:00,29.0,,,clear,晴れ,0.0,89.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-15T22:00:00+09:00,2025-06-15T18:57:31.908740+09:00,28.0,,,clear,晴れ,0.0,90.0,3.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-15T23:00:00+09:00,2025-06-15T18:57:31.911604+09:00,28.0,,,clear,晴れ,0.0,91.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-16T00:00:00+09:00,2025-06-15T18:57:31.913745+09:00,28.0,,,cloudy,うすぐもり,0.0,90.0,4.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-16T01:00:00+09:00,2025-06-15T18:57:31.916757+09:00,28.0,,,cloudy,うすぐもり,0.0,90.0,4.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-16T02:00:00+09:00,2025-06-15T18:57:31.919558+09:00,28.0,,,cloudy,うすぐもり,0.0,90.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-16T03:00:00+09:00,2025-06-15T18:57:31.920594+09:00,28.0,,,cloudy,うすぐもり,0.0,90.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-16T04:00:00+09:00,2025-06-15T18:57:31.921596+09:00,28.0,,,cloudy,うすぐもり,0.0,90.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-16T05:00:00+09:00,2025-06-15T18:57:31.924598+09:00,28.0,,,cloudy,うすぐもり,0.0,90.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
名護,2025-06-16T06:00:00+09:00,2025-06-15T18:57:31.932122+09:00,28.0,,,cloudy,うすぐもり,0.0,90.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
