location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
土浦,2025-06-16T06:00:00+09:00,2025-06-15T17:49:00.295712+09:00,23.0,,,cloudy,くもり,0.0,89.0,1.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-15T17:00:00+09:00,2025-06-15T17:49:00.297877+09:00,28.4,,,clear,晴れ,0.0,81.0,0.4,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-15T18:00:00+09:00,2025-06-15T17:49:00.303604+09:00,28.0,,,clear,晴れ,0.0,81.0,0.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-15T19:00:00+09:00,2025-06-15T17:49:00.305822+09:00,27.0,,,clear,晴れ,0.0,87.0,0.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-15T20:00:00+09:00,2025-06-15T17:49:00.307721+09:00,26.0,,,cloudy,くもり,0.0,91.0,0.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-15T21:00:00+09:00,2025-06-15T17:49:00.322710+09:00,26.0,,,cloudy,くもり,0.0,93.0,0.0,"{'weather_code': '200', 'wind_direction': 'west', 'wind_direction_degrees': 270, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-15T22:00:00+09:00,2025-06-15T17:49:00.333462+09:00,25.0,,,cloudy,くもり,0.0,94.0,1.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-15T23:00:00+09:00,2025-06-15T17:49:00.336865+09:00,25.0,,,cloudy,くもり,0.0,95.0,1.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T00:00:00+09:00,2025-06-15T17:49:00.338854+09:00,25.0,,,cloudy,くもり,0.0,93.0,1.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T01:00:00+09:00,2025-06-15T17:49:00.340970+09:00,24.0,,,cloudy,くもり,0.0,94.0,1.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T02:00:00+09:00,2025-06-15T17:49:00.345559+09:00,24.0,,,cloudy,くもり,0.0,94.0,1.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T03:00:00+09:00,2025-06-15T17:49:00.347316+09:00,24.0,,,cloudy,くもり,0.0,95.0,1.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T04:00:00+09:00,2025-06-15T17:49:00.349405+09:00,24.0,,,cloudy,くもり,0.0,94.0,1.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T05:00:00+09:00,2025-06-15T17:49:00.353156+09:00,23.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T06:00:00+09:00,2025-06-15T17:49:00.355277+09:00,23.0,,,cloudy,くもり,0.0,89.0,1.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T07:00:00+09:00,2025-06-15T17:49:00.356909+09:00,24.0,,,cloudy,くもり,0.0,87.0,1.0,"{'weather_code': '200', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T08:00:00+09:00,2025-06-15T17:49:00.358898+09:00,26.0,,,cloudy,くもり,0.0,84.0,2.0,"{'weather_code': '200', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T09:00:00+09:00,2025-06-15T17:49:00.361089+09:00,26.0,,,cloudy,くもり,0.0,77.0,2.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T10:00:00+09:00,2025-06-15T17:49:00.363193+09:00,27.0,,,cloudy,くもり,0.0,75.0,2.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T11:00:00+09:00,2025-06-15T17:49:00.365072+09:00,28.0,,,cloudy,くもり,0.0,69.0,3.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T12:00:00+09:00,2025-06-15T17:49:00.367253+09:00,29.0,,,cloudy,くもり,0.0,67.0,3.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T13:00:00+09:00,2025-06-15T17:49:00.371535+09:00,30.0,,,cloudy,くもり,0.0,65.0,3.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T14:00:00+09:00,2025-06-15T17:49:00.373764+09:00,30.0,,,cloudy,くもり,0.0,65.0,3.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T15:00:00+09:00,2025-06-15T17:49:00.376238+09:00,30.0,,,cloudy,うすぐもり,0.0,66.0,3.0,"{'weather_code': '600', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T16:00:00+09:00,2025-06-15T17:49:00.378954+09:00,29.0,,,cloudy,うすぐもり,0.0,68.0,3.0,"{'weather_code': '600', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T17:00:00+09:00,2025-06-15T17:49:00.381133+09:00,29.0,,,cloudy,うすぐもり,0.0,71.0,2.0,"{'weather_code': '600', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T18:00:00+09:00,2025-06-15T17:49:00.387304+09:00,28.0,,,clear,晴れ,0.0,75.0,2.0,"{'weather_code': '100', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T19:00:00+09:00,2025-06-15T17:49:00.390261+09:00,27.0,,,clear,晴れ,0.0,80.0,2.0,"{'weather_code': '100', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T20:00:00+09:00,2025-06-15T17:49:00.392607+09:00,26.0,,,clear,晴れ,0.0,84.0,2.0,"{'weather_code': '100', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T21:00:00+09:00,2025-06-15T17:49:00.395693+09:00,25.0,,,clear,晴れ,0.0,88.0,2.0,"{'weather_code': '100', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T22:00:00+09:00,2025-06-15T17:49:00.398937+09:00,24.0,,,clear,晴れ,0.0,91.0,1.0,"{'weather_code': '100', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-16T23:00:00+09:00,2025-06-15T17:49:00.401328+09:00,24.0,,,cloudy,うすぐもり,0.0,93.0,1.0,"{'weather_code': '600', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T00:00:00+09:00,2025-06-15T17:49:00.405334+09:00,24.0,,,cloudy,うすぐもり,0.0,94.0,1.0,"{'weather_code': '600', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T01:00:00+09:00,2025-06-15T17:49:00.407859+09:00,24.0,,,cloudy,くもり,0.0,95.0,1.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T02:00:00+09:00,2025-06-15T17:49:00.424230+09:00,23.0,,,cloudy,くもり,0.0,96.0,1.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T03:00:00+09:00,2025-06-15T17:49:00.429539+09:00,23.0,,,cloudy,くもり,0.0,96.0,1.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T04:00:00+09:00,2025-06-15T17:49:00.433059+09:00,23.0,,,cloudy,うすぐもり,0.0,96.0,0.0,"{'weather_code': '600', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T05:00:00+09:00,2025-06-15T17:49:00.439556+09:00,23.0,,,cloudy,うすぐもり,0.0,96.0,0.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T06:00:00+09:00,2025-06-15T17:49:00.442469+09:00,23.0,,,clear,晴れ,0.0,94.0,1.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T07:00:00+09:00,2025-06-15T17:49:00.447666+09:00,24.0,,,clear,晴れ,0.0,88.0,1.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T08:00:00+09:00,2025-06-15T17:49:00.457683+09:00,27.0,,,clear,晴れ,0.0,82.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T09:00:00+09:00,2025-06-15T17:49:00.472995+09:00,29.0,,,clear,晴れ,0.0,77.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T10:00:00+09:00,2025-06-15T17:49:00.480188+09:00,30.0,,,clear,晴れ,0.0,72.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T11:00:00+09:00,2025-06-15T17:49:00.486026+09:00,32.0,,,clear,晴れ,0.0,66.0,0.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T12:00:00+09:00,2025-06-15T17:49:00.488336+09:00,33.0,,,clear,晴れ,0.0,61.0,1.0,"{'weather_code': '100', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T13:00:00+09:00,2025-06-15T17:49:00.490413+09:00,34.0,,,extreme_heat,猛暑,0.0,57.0,3.0,"{'weather_code': '550', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T14:00:00+09:00,2025-06-15T17:49:00.492605+09:00,35.0,,,extreme_heat,猛暑,0.0,56.0,3.0,"{'weather_code': '550', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T15:00:00+09:00,2025-06-15T17:49:00.496757+09:00,34.0,,,extreme_heat,猛暑,0.0,59.0,3.0,"{'weather_code': '550', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T16:00:00+09:00,2025-06-15T17:49:00.502092+09:00,33.0,,,clear,晴れ,0.0,64.0,3.0,"{'weather_code': '100', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T17:00:00+09:00,2025-06-15T17:49:00.505556+09:00,31.0,,,clear,晴れ,0.0,68.0,3.0,"{'weather_code': '100', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T18:00:00+09:00,2025-06-15T17:49:00.508116+09:00,30.0,,,clear,晴れ,0.0,73.0,3.0,"{'weather_code': '100', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T19:00:00+09:00,2025-06-15T17:49:00.510776+09:00,29.0,,,clear,晴れ,0.0,78.0,2.0,"{'weather_code': '100', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T20:00:00+09:00,2025-06-15T17:49:00.513544+09:00,27.0,,,cloudy,うすぐもり,0.0,82.0,2.0,"{'weather_code': '600', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T21:00:00+09:00,2025-06-15T17:49:00.516929+09:00,27.0,,,cloudy,うすぐもり,0.0,85.0,2.0,"{'weather_code': '600', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T22:00:00+09:00,2025-06-15T17:49:00.521398+09:00,26.0,,,clear,晴れ,0.0,88.0,2.0,"{'weather_code': '100', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-17T23:00:00+09:00,2025-06-15T17:49:00.525555+09:00,26.0,,,clear,晴れ,0.0,89.0,2.0,"{'weather_code': '100', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-18T00:00:00+09:00,2025-06-15T17:49:00.528295+09:00,25.0,,,clear,晴れ,0.0,90.0,2.0,"{'weather_code': '100', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-18T01:00:00+09:00,2025-06-15T17:49:00.531425+09:00,25.0,,,clear,晴れ,0.0,91.0,2.0,"{'weather_code': '100', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-18T02:00:00+09:00,2025-06-15T17:49:00.533438+09:00,25.0,,,clear,晴れ,0.0,91.0,2.0,"{'weather_code': '100', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-18T03:00:00+09:00,2025-06-15T17:49:00.537196+09:00,24.0,,,clear,晴れ,0.0,92.0,1.0,"{'weather_code': '100', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-18T04:00:00+09:00,2025-06-15T17:49:00.539368+09:00,24.0,,,clear,晴れ,0.0,92.0,1.0,"{'weather_code': '100', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
土浦,2025-06-18T05:00:00+09:00,2025-06-15T17:49:00.541477+09:00,24.0,,,clear,晴れ,0.0,91.0,1.0,"{'weather_code': '100', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
