location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
大島,2025-06-16T06:00:00+09:00,2025-06-15T17:48:50.191920+09:00,26.0,,,cloudy,うすぐもり,0.0,93.0,6.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-15T17:00:00+09:00,2025-06-15T17:48:50.210161+09:00,29.7,,,clear,晴れ,0.0,64.0,3.6,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-15T18:00:00+09:00,2025-06-15T17:48:50.211271+09:00,29.0,,,clear,晴れ,0.0,86.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-15T19:00:00+09:00,2025-06-15T17:48:50.212319+09:00,28.0,,,clear,晴れ,0.0,88.0,2.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-15T20:00:00+09:00,2025-06-15T17:48:50.213488+09:00,27.0,,,cloudy,うすぐもり,0.0,89.0,2.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-15T21:00:00+09:00,2025-06-15T17:48:50.214660+09:00,27.0,,,cloudy,うすぐもり,0.0,90.0,4.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-15T22:00:00+09:00,2025-06-15T17:48:50.215867+09:00,26.0,,,cloudy,うすぐもり,0.0,91.0,4.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-15T23:00:00+09:00,2025-06-15T17:48:50.219378+09:00,26.0,,,cloudy,うすぐもり,0.0,92.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T00:00:00+09:00,2025-06-15T17:48:50.221128+09:00,26.0,,,cloudy,うすぐもり,0.0,92.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T01:00:00+09:00,2025-06-15T17:48:50.223282+09:00,26.0,,,cloudy,うすぐもり,0.0,93.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T02:00:00+09:00,2025-06-15T17:48:50.225227+09:00,26.0,,,cloudy,うすぐもり,0.0,94.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T03:00:00+09:00,2025-06-15T17:48:50.227110+09:00,26.0,,,cloudy,くもり,0.0,94.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T04:00:00+09:00,2025-06-15T17:48:50.228286+09:00,26.0,,,cloudy,くもり,0.0,94.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T05:00:00+09:00,2025-06-15T17:48:50.229008+09:00,26.0,,,cloudy,くもり,0.0,94.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T06:00:00+09:00,2025-06-15T17:48:50.229814+09:00,26.0,,,cloudy,うすぐもり,0.0,93.0,6.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T07:00:00+09:00,2025-06-15T17:48:50.230917+09:00,26.0,,,cloudy,うすぐもり,0.0,91.0,7.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T08:00:00+09:00,2025-06-15T17:48:50.231963+09:00,28.0,,,cloudy,うすぐもり,0.0,87.0,7.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T09:00:00+09:00,2025-06-15T17:48:50.232887+09:00,28.0,,,cloudy,うすぐもり,0.0,84.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T10:00:00+09:00,2025-06-15T17:48:50.233765+09:00,29.0,,,cloudy,うすぐもり,0.0,83.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T11:00:00+09:00,2025-06-15T17:48:50.235012+09:00,30.0,,,cloudy,うすぐもり,0.0,81.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T12:00:00+09:00,2025-06-15T17:48:50.236449+09:00,30.0,,,cloudy,うすぐもり,0.0,81.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T13:00:00+09:00,2025-06-15T17:48:50.237712+09:00,31.0,,,cloudy,うすぐもり,0.0,81.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大島,2025-06-16T14:00:00+09:00,2025-06-15T17:48:50.241363+09:00,32.0,,,cloudy,うすぐもり,0.0,81.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
