location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
大田原,2025-06-16T14:00:00+09:00,2025-06-15T17:49:03.897412+09:00,34.0,,,extreme_heat,猛暑,0.0,65.0,5.0,"{'weather_code': '550', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大田原,2025-06-15T17:00:00+09:00,2025-06-15T17:49:03.899011+09:00,30.3,,,clear,晴れ,0.0,64.0,2.2,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大田原,2025-06-15T18:00:00+09:00,2025-06-15T17:49:03.900250+09:00,28.0,,,clear,晴れ,0.0,79.0,1.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大田原,2025-06-15T19:00:00+09:00,2025-06-15T17:49:03.903598+09:00,27.0,,,clear,晴れ,0.0,83.0,0.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大田原,2025-06-15T20:00:00+09:00,2025-06-15T17:49:03.905467+09:00,25.0,,,cloudy,くもり,0.0,86.0,0.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大田原,2025-06-15T21:00:00+09:00,2025-06-15T17:49:03.906422+09:00,25.0,,,cloudy,くもり,0.0,88.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大田原,2025-06-15T22:00:00+09:00,2025-06-15T17:49:03.907249+09:00,24.0,,,cloudy,くもり,0.0,88.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大田原,2025-06-15T23:00:00+09:00,2025-06-15T17:49:03.908408+09:00,24.0,,,cloudy,くもり,0.0,90.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大田原,2025-06-16T00:00:00+09:00,2025-06-15T17:49:03.909382+09:00,24.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大田原,2025-06-16T01:00:00+09:00,2025-06-15T17:49:03.910872+09:00,23.0,,,cloudy,くもり,0.0,93.0,1.0,"{'weather_code': '200', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
大田原,2025-06-16T02:00:00+09:00,2025-06-15T17:49:03.912055+09:00,23.0,,,cloudy,くもり,0.0,95.0,1.0,"{'weather_code': '200', 'wind_direction': 'west', 'wind_direction_degrees': 270, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
