location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
宇都宮,2025-06-16T06:00:00+09:00,2025-06-15T17:49:02.966433+09:00,23.0,,,cloudy,くもり,0.0,88.0,2.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
宇都宮,2025-06-15T17:00:00+09:00,2025-06-15T17:49:02.980681+09:00,29.4,,,clear,晴れ,0.0,71.0,1.3,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
宇都宮,2025-06-15T18:00:00+09:00,2025-06-15T17:49:02.982110+09:00,28.0,,,rain,小雨,0.5,80.0,0.0,"{'weather_code': '650', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
宇都宮,2025-06-15T19:00:00+09:00,2025-06-15T17:49:02.983625+09:00,27.0,,,cloudy,くもり,0.0,86.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
宇都宮,2025-06-15T20:00:00+09:00,2025-06-15T17:49:02.987649+09:00,26.0,,,cloudy,くもり,0.0,89.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
宇都宮,2025-06-15T21:00:00+09:00,2025-06-15T17:49:02.991484+09:00,26.0,,,cloudy,くもり,0.0,90.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
宇都宮,2025-06-15T22:00:00+09:00,2025-06-15T17:49:02.997408+09:00,25.0,,,cloudy,くもり,0.0,91.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
宇都宮,2025-06-15T23:00:00+09:00,2025-06-15T17:49:03.004950+09:00,25.0,,,cloudy,くもり,0.0,91.0,2.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
宇都宮,2025-06-16T00:00:00+09:00,2025-06-15T17:49:03.112954+09:00,25.0,,,cloudy,くもり,0.0,92.0,2.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
宇都宮,2025-06-16T01:00:00+09:00,2025-06-15T17:49:03.117000+09:00,24.0,,,cloudy,くもり,0.0,92.0,2.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
