location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
小田原,2025-06-16T06:00:00+09:00,2025-06-15T17:48:52.676385+09:00,25.0,,,cloudy,くもり,0.0,92.0,0.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
小田原,2025-06-15T17:00:00+09:00,2025-06-15T17:48:52.677045+09:00,28.6,,,clear,晴れ,0.0,69.0,1.8,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
小田原,2025-06-15T18:00:00+09:00,2025-06-15T17:48:52.677551+09:00,27.0,,,clear,晴れ,0.0,88.0,1.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
小田原,2025-06-15T19:00:00+09:00,2025-06-15T17:48:52.678382+09:00,27.0,,,cloudy,くもり,0.0,90.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
小田原,2025-06-15T20:00:00+09:00,2025-06-15T17:48:52.679011+09:00,26.0,,,cloudy,くもり,0.0,91.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
小田原,2025-06-15T21:00:00+09:00,2025-06-15T17:48:52.679772+09:00,26.0,,,cloudy,くもり,0.0,91.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
小田原,2025-06-15T22:00:00+09:00,2025-06-15T17:48:52.680364+09:00,26.0,,,cloudy,くもり,0.0,91.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
小田原,2025-06-15T23:00:00+09:00,2025-06-15T17:48:52.681079+09:00,26.0,,,cloudy,くもり,0.0,91.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
小田原,2025-06-16T00:00:00+09:00,2025-06-15T17:48:52.682346+09:00,26.0,,,cloudy,くもり,0.0,90.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
小田原,2025-06-16T01:00:00+09:00,2025-06-15T17:48:52.683348+09:00,26.0,,,cloudy,くもり,0.0,91.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
