location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
横浜,2025-06-16T06:00:00+09:00,2025-06-15T17:48:51.939265+09:00,25.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
横浜,2025-06-15T17:00:00+09:00,2025-06-15T17:48:51.940598+09:00,28.1,,,clear,晴れ,0.0,76.0,3.6,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
横浜,2025-06-15T18:00:00+09:00,2025-06-15T17:48:51.942016+09:00,27.0,,,clear,晴れ,0.0,83.0,1.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
横浜,2025-06-15T19:00:00+09:00,2025-06-15T17:48:51.946004+09:00,27.0,,,clear,晴れ,0.0,86.0,1.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
横浜,2025-06-15T20:00:00+09:00,2025-06-15T17:48:51.946820+09:00,26.0,,,cloudy,くもり,0.0,87.0,0.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
横浜,2025-06-15T21:00:00+09:00,2025-06-15T17:48:51.947602+09:00,26.0,,,cloudy,くもり,0.0,89.0,0.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
横浜,2025-06-15T22:00:00+09:00,2025-06-15T17:48:51.948391+09:00,26.0,,,cloudy,くもり,0.0,89.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
横浜,2025-06-15T23:00:00+09:00,2025-06-15T17:48:51.949170+09:00,26.0,,,cloudy,くもり,0.0,89.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
横浜,2025-06-16T00:00:00+09:00,2025-06-15T17:48:51.950037+09:00,26.0,,,cloudy,くもり,0.0,86.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
横浜,2025-06-16T01:00:00+09:00,2025-06-15T17:48:51.952708+09:00,26.0,,,cloudy,くもり,0.0,87.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
