location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
水戸,2025-06-16T06:00:00+09:00,2025-06-15T17:48:59.492549+09:00,22.0,,,cloudy,くもり,0.0,91.0,2.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-15T17:00:00+09:00,2025-06-15T17:48:59.495271+09:00,28.6,,,clear,晴れ,0.0,76.0,1.3,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-15T18:00:00+09:00,2025-06-15T17:48:59.499278+09:00,28.0,,,clear,晴れ,0.0,86.0,0.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-15T19:00:00+09:00,2025-06-15T17:48:59.507532+09:00,27.0,,,cloudy,くもり,0.0,89.0,0.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-15T20:00:00+09:00,2025-06-15T17:48:59.509529+09:00,26.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-15T21:00:00+09:00,2025-06-15T17:48:59.510647+09:00,25.0,,,cloudy,くもり,0.0,93.0,2.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-15T22:00:00+09:00,2025-06-15T17:48:59.512355+09:00,25.0,,,cloudy,くもり,0.0,95.0,2.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-15T23:00:00+09:00,2025-06-15T17:48:59.514092+09:00,24.0,,,cloudy,くもり,0.0,96.0,2.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T00:00:00+09:00,2025-06-15T17:48:59.515676+09:00,24.0,,,cloudy,くもり,0.0,95.0,1.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T01:00:00+09:00,2025-06-15T17:48:59.517408+09:00,23.0,,,cloudy,くもり,0.0,93.0,1.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T02:00:00+09:00,2025-06-15T17:48:59.521101+09:00,23.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T03:00:00+09:00,2025-06-15T17:48:59.522283+09:00,23.0,,,cloudy,くもり,0.0,91.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T04:00:00+09:00,2025-06-15T17:48:59.523338+09:00,22.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T05:00:00+09:00,2025-06-15T17:48:59.524442+09:00,22.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T06:00:00+09:00,2025-06-15T17:48:59.526189+09:00,22.0,,,cloudy,くもり,0.0,91.0,2.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T07:00:00+09:00,2025-06-15T17:48:59.527594+09:00,22.0,,,cloudy,くもり,0.0,86.0,2.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T08:00:00+09:00,2025-06-15T17:48:59.529299+09:00,25.0,,,cloudy,くもり,0.0,83.0,2.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T09:00:00+09:00,2025-06-15T17:48:59.530898+09:00,25.0,,,cloudy,くもり,0.0,79.0,3.0,"{'weather_code': '200', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T10:00:00+09:00,2025-06-15T17:48:59.532439+09:00,26.0,,,cloudy,くもり,0.0,76.0,3.0,"{'weather_code': '200', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T11:00:00+09:00,2025-06-15T17:48:59.536402+09:00,27.0,,,cloudy,くもり,0.0,73.0,4.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T12:00:00+09:00,2025-06-15T17:48:59.538387+09:00,27.0,,,cloudy,くもり,0.0,72.0,5.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T13:00:00+09:00,2025-06-15T17:48:59.539827+09:00,28.0,,,cloudy,くもり,0.0,71.0,5.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T14:00:00+09:00,2025-06-15T17:48:59.541754+09:00,28.0,,,cloudy,うすぐもり,0.0,72.0,5.0,"{'weather_code': '600', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T15:00:00+09:00,2025-06-15T17:48:59.571356+09:00,28.0,,,cloudy,うすぐもり,0.0,74.0,5.0,"{'weather_code': '600', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T16:00:00+09:00,2025-06-15T17:48:59.591820+09:00,26.0,,,cloudy,うすぐもり,0.0,77.0,5.0,"{'weather_code': '600', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T17:00:00+09:00,2025-06-15T17:48:59.597695+09:00,26.0,,,cloudy,うすぐもり,0.0,82.0,5.0,"{'weather_code': '600', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T18:00:00+09:00,2025-06-15T17:48:59.603724+09:00,25.0,,,cloudy,うすぐもり,0.0,86.0,4.0,"{'weather_code': '600', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T19:00:00+09:00,2025-06-15T17:48:59.608599+09:00,24.0,,,cloudy,うすぐもり,0.0,90.0,3.0,"{'weather_code': '600', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T20:00:00+09:00,2025-06-15T17:48:59.614882+09:00,24.0,,,clear,晴れ,0.0,92.0,3.0,"{'weather_code': '100', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T21:00:00+09:00,2025-06-15T17:48:59.626726+09:00,23.0,,,cloudy,うすぐもり,0.0,95.0,2.0,"{'weather_code': '600', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T22:00:00+09:00,2025-06-15T17:48:59.632176+09:00,23.0,,,cloudy,うすぐもり,0.0,97.0,2.0,"{'weather_code': '600', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-16T23:00:00+09:00,2025-06-15T17:48:59.640067+09:00,23.0,,,cloudy,うすぐもり,0.0,97.0,1.0,"{'weather_code': '600', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-17T00:00:00+09:00,2025-06-15T17:48:59.644731+09:00,22.0,,,cloudy,うすぐもり,0.0,97.0,1.0,"{'weather_code': '600', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
水戸,2025-06-17T01:00:00+09:00,2025-06-15T17:48:59.660219+09:00,22.0,,,cloudy,くもり,0.0,98.0,1.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
