location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
熊谷,2025-06-16T06:00:00+09:00,2025-06-15T17:48:54.193195+09:00,24.0,,,cloudy,くもり,0.0,85.0,0.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-15T17:00:00+09:00,2025-06-15T17:48:54.204044+09:00,29.7,,,cloudy,くもり,0.0,68.0,2.4,"{'weather_code': '200', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-15T18:00:00+09:00,2025-06-15T17:48:54.208542+09:00,29.0,,,cloudy,くもり,0.0,73.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-15T19:00:00+09:00,2025-06-15T17:48:54.211509+09:00,28.0,,,cloudy,くもり,0.0,80.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-15T20:00:00+09:00,2025-06-15T17:48:54.215423+09:00,27.0,,,cloudy,くもり,0.0,83.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-15T21:00:00+09:00,2025-06-15T17:48:54.240528+09:00,27.0,,,cloudy,くもり,0.0,85.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-15T22:00:00+09:00,2025-06-15T17:48:54.255848+09:00,26.0,,,cloudy,くもり,0.0,85.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-15T23:00:00+09:00,2025-06-15T17:48:54.263694+09:00,26.0,,,cloudy,くもり,0.0,85.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-16T00:00:00+09:00,2025-06-15T17:48:54.339169+09:00,25.0,,,cloudy,うすぐもり,0.0,84.0,2.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-16T01:00:00+09:00,2025-06-15T17:48:54.349041+09:00,25.0,,,cloudy,うすぐもり,0.0,85.0,1.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-16T02:00:00+09:00,2025-06-15T17:48:54.351188+09:00,25.0,,,cloudy,うすぐもり,0.0,86.0,1.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-16T03:00:00+09:00,2025-06-15T17:48:54.356471+09:00,24.0,,,cloudy,くもり,0.0,87.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-16T04:00:00+09:00,2025-06-15T17:48:54.387692+09:00,24.0,,,cloudy,くもり,0.0,87.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-16T05:00:00+09:00,2025-06-15T17:48:54.395705+09:00,24.0,,,cloudy,くもり,0.0,88.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-16T06:00:00+09:00,2025-06-15T17:48:54.398579+09:00,24.0,,,cloudy,くもり,0.0,85.0,0.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-16T07:00:00+09:00,2025-06-15T17:48:54.399899+09:00,25.0,,,cloudy,くもり,0.0,82.0,1.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
熊谷,2025-06-16T08:00:00+09:00,2025-06-15T17:48:54.401136+09:00,26.0,,,cloudy,くもり,0.0,78.0,2.0,"{'weather_code': '200', 'wind_direction': 'south', 'wind_direction_degrees': 180, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
