location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
父島,2025-06-16T06:00:00+09:00,2025-06-15T17:48:51.348078+09:00,25.0,,,cloudy,くもり,0.0,83.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
父島,2025-06-15T17:00:00+09:00,2025-06-15T17:48:51.350638+09:00,26.9,,,cloudy,くもり,0.0,83.0,2.4,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
父島,2025-06-15T18:00:00+09:00,2025-06-15T17:48:51.356211+09:00,26.0,,,cloudy,くもり,0.0,77.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
父島,2025-06-15T19:00:00+09:00,2025-06-15T17:48:51.358465+09:00,26.0,,,cloudy,くもり,0.0,79.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
父島,2025-06-15T20:00:00+09:00,2025-06-15T17:48:51.362460+09:00,26.0,,,cloudy,くもり,0.0,80.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
父島,2025-06-15T21:00:00+09:00,2025-06-15T17:48:51.364400+09:00,26.0,,,cloudy,くもり,0.0,82.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
父島,2025-06-15T22:00:00+09:00,2025-06-15T17:48:51.366542+09:00,26.0,,,cloudy,くもり,0.0,82.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
父島,2025-06-15T23:00:00+09:00,2025-06-15T17:48:51.373271+09:00,25.0,,,cloudy,くもり,0.0,81.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
父島,2025-06-16T00:00:00+09:00,2025-06-15T17:48:51.375782+09:00,25.0,,,cloudy,くもり,0.0,81.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
父島,2025-06-16T01:00:00+09:00,2025-06-15T17:48:51.379892+09:00,25.0,,,cloudy,くもり,0.0,82.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
