location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
石垣島,2025-06-16T07:00:00+09:00,2025-06-15T18:57:51.580654+09:00,27.0,,,cloudy,うすぐもり,0.0,87.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-15T18:00:00+09:00,2025-06-15T18:57:51.588087+09:00,29.4,,,clear,晴れ,0.0,79.0,4.9,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-15T19:00:00+09:00,2025-06-15T18:57:51.598440+09:00,29.0,,,clear,晴れ,0.0,88.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-15T20:00:00+09:00,2025-06-15T18:57:51.607061+09:00,28.0,,,clear,晴れ,0.0,88.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-15T21:00:00+09:00,2025-06-15T18:57:51.608165+09:00,28.0,,,clear,晴れ,0.0,88.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-15T22:00:00+09:00,2025-06-15T18:57:51.609672+09:00,28.0,,,clear,晴れ,0.0,88.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-15T23:00:00+09:00,2025-06-15T18:57:51.610857+09:00,28.0,,,cloudy,うすぐもり,0.0,89.0,8.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T00:00:00+09:00,2025-06-15T18:57:51.611995+09:00,28.0,,,cloudy,うすぐもり,0.0,89.0,8.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T01:00:00+09:00,2025-06-15T18:57:51.612932+09:00,27.0,,,cloudy,うすぐもり,0.0,89.0,8.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T02:00:00+09:00,2025-06-15T18:57:51.614878+09:00,27.0,,,cloudy,うすぐもり,0.0,88.0,9.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T03:00:00+09:00,2025-06-15T18:57:51.620448+09:00,27.0,,,cloudy,うすぐもり,0.0,88.0,9.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T04:00:00+09:00,2025-06-15T18:57:51.622495+09:00,27.0,,,cloudy,うすぐもり,0.0,88.0,10.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T05:00:00+09:00,2025-06-15T18:57:51.624579+09:00,27.0,,,cloudy,うすぐもり,0.0,88.0,9.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T06:00:00+09:00,2025-06-15T18:57:51.628388+09:00,27.0,,,cloudy,うすぐもり,0.0,88.0,9.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T07:00:00+09:00,2025-06-15T18:57:51.632216+09:00,27.0,,,cloudy,うすぐもり,0.0,87.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T08:00:00+09:00,2025-06-15T18:57:51.638329+09:00,28.0,,,cloudy,うすぐもり,0.0,86.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T09:00:00+09:00,2025-06-15T18:57:51.642024+09:00,29.0,,,cloudy,うすぐもり,0.0,85.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T10:00:00+09:00,2025-06-15T18:57:51.646024+09:00,30.0,,,cloudy,うすぐもり,0.0,84.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T11:00:00+09:00,2025-06-15T18:57:51.649334+09:00,30.0,,,cloudy,うすぐもり,0.0,84.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T12:00:00+09:00,2025-06-15T18:57:51.655059+09:00,31.0,,,cloudy,うすぐもり,0.0,84.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T13:00:00+09:00,2025-06-15T18:57:51.657608+09:00,31.0,,,cloudy,うすぐもり,0.0,84.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T14:00:00+09:00,2025-06-15T18:57:51.661091+09:00,32.0,,,cloudy,うすぐもり,0.0,84.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T15:00:00+09:00,2025-06-15T18:57:51.666362+09:00,32.0,,,cloudy,うすぐもり,0.0,84.0,7.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T16:00:00+09:00,2025-06-15T18:57:51.673972+09:00,32.0,,,cloudy,うすぐもり,0.0,85.0,7.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T17:00:00+09:00,2025-06-15T18:57:51.676498+09:00,31.0,,,cloudy,うすぐもり,0.0,86.0,6.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T18:00:00+09:00,2025-06-15T18:57:51.680627+09:00,29.0,,,cloudy,うすぐもり,0.0,86.0,6.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T19:00:00+09:00,2025-06-15T18:57:51.683626+09:00,29.0,,,cloudy,うすぐもり,0.0,87.0,5.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T20:00:00+09:00,2025-06-15T18:57:51.692612+09:00,28.0,,,cloudy,うすぐもり,0.0,87.0,5.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
石垣島,2025-06-16T21:00:00+09:00,2025-06-15T18:57:51.697179+09:00,28.0,,,cloudy,うすぐもり,0.0,88.0,5.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
