location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
秩父,2025-06-16T06:00:00+09:00,2025-06-15T17:48:55.017477+09:00,22.0,,,cloudy,くもり,0.0,88.0,0.0,"{'weather_code': '200', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
秩父,2025-06-15T17:00:00+09:00,2025-06-15T17:48:55.027441+09:00,31.5,,,clear,晴れ,0.0,67.0,1.2,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
秩父,2025-06-15T18:00:00+09:00,2025-06-15T17:48:55.028597+09:00,29.0,,,rain,雨,3.0,89.0,1.0,"{'weather_code': '300', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
秩父,2025-06-15T19:00:00+09:00,2025-06-15T17:48:55.029633+09:00,28.0,,,rain,小雨,0.5,92.0,1.0,"{'weather_code': '650', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
秩父,2025-06-15T20:00:00+09:00,2025-06-15T17:48:55.031046+09:00,27.0,,,cloudy,くもり,0.0,93.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
秩父,2025-06-15T21:00:00+09:00,2025-06-15T17:48:55.032016+09:00,25.0,,,cloudy,くもり,0.0,93.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
秩父,2025-06-15T22:00:00+09:00,2025-06-15T17:48:55.032854+09:00,25.0,,,cloudy,くもり,0.0,93.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
秩父,2025-06-15T23:00:00+09:00,2025-06-15T17:48:55.034088+09:00,24.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
秩父,2025-06-16T00:00:00+09:00,2025-06-15T17:48:55.035958+09:00,23.0,,,cloudy,くもり,0.0,91.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
秩父,2025-06-16T01:00:00+09:00,2025-06-15T17:48:55.036982+09:00,23.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
秩父,2025-06-16T02:00:00+09:00,2025-06-15T17:48:55.038241+09:00,22.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
