location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
稚内,2025-06-15T07:00:00+09:00,2025-06-14T18:50:48.318325+09:00,18.0,,,cloudy,うすぐもり,0.0,87.0,6.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-14T18:00:00+09:00,2025-06-14T18:50:48.320286+09:00,16.8,,,cloudy,くもり,0.0,76.0,5.9,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-14T19:00:00+09:00,2025-06-14T18:50:48.320981+09:00,16.0,,,cloudy,くもり,0.0,81.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-14T20:00:00+09:00,2025-06-14T18:50:48.321596+09:00,16.0,,,cloudy,うすぐもり,0.0,82.0,4.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-14T21:00:00+09:00,2025-06-14T18:50:48.322218+09:00,16.0,,,cloudy,うすぐもり,0.0,86.0,4.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-14T22:00:00+09:00,2025-06-14T18:50:48.322967+09:00,16.0,,,cloudy,うすぐもり,0.0,89.0,5.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-14T23:00:00+09:00,2025-06-14T18:50:48.323637+09:00,16.0,,,clear,晴れ,0.0,91.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T00:00:00+09:00,2025-06-14T18:50:48.324349+09:00,15.0,,,clear,晴れ,0.0,93.0,5.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T01:00:00+09:00,2025-06-14T18:50:48.325431+09:00,15.0,,,cloudy,うすぐもり,0.0,94.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T02:00:00+09:00,2025-06-14T18:50:48.326485+09:00,15.0,,,cloudy,くもり,0.0,93.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T03:00:00+09:00,2025-06-14T18:50:48.327486+09:00,15.0,,,cloudy,くもり,0.0,93.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T04:00:00+09:00,2025-06-14T18:50:48.328307+09:00,15.0,,,cloudy,くもり,0.0,93.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T05:00:00+09:00,2025-06-14T18:50:48.329113+09:00,15.0,,,cloudy,うすぐもり,0.0,92.0,5.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T06:00:00+09:00,2025-06-14T18:50:48.329914+09:00,16.0,,,cloudy,うすぐもり,0.0,90.0,5.0,"{'weather_code': '600', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T07:00:00+09:00,2025-06-14T18:50:48.330799+09:00,18.0,,,cloudy,うすぐもり,0.0,87.0,6.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T08:00:00+09:00,2025-06-14T18:50:48.331695+09:00,19.0,,,cloudy,うすぐもり,0.0,85.0,7.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T09:00:00+09:00,2025-06-14T18:50:48.332720+09:00,20.0,,,cloudy,くもり,0.0,83.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T10:00:00+09:00,2025-06-14T18:50:48.333690+09:00,21.0,,,cloudy,くもり,0.0,82.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T11:00:00+09:00,2025-06-14T18:50:48.334661+09:00,21.0,,,cloudy,うすぐもり,0.0,82.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T12:00:00+09:00,2025-06-14T18:50:48.336049+09:00,21.0,,,cloudy,うすぐもり,0.0,82.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T13:00:00+09:00,2025-06-14T18:50:48.337418+09:00,21.0,,,cloudy,うすぐもり,0.0,82.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T14:00:00+09:00,2025-06-14T18:50:48.338625+09:00,21.0,,,cloudy,くもり,0.0,83.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T15:00:00+09:00,2025-06-14T18:50:48.339865+09:00,21.0,,,cloudy,くもり,0.0,85.0,8.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T16:00:00+09:00,2025-06-14T18:50:48.341036+09:00,19.0,,,cloudy,くもり,0.0,87.0,6.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T17:00:00+09:00,2025-06-14T18:50:48.343816+09:00,18.0,,,cloudy,くもり,0.0,89.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T18:00:00+09:00,2025-06-14T18:50:48.345536+09:00,17.0,,,cloudy,くもり,0.0,92.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T19:00:00+09:00,2025-06-14T18:50:48.347430+09:00,17.0,,,cloudy,くもり,0.0,95.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T20:00:00+09:00,2025-06-14T18:50:48.349382+09:00,16.0,,,cloudy,くもり,0.0,97.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T21:00:00+09:00,2025-06-14T18:50:48.350943+09:00,16.0,,,cloudy,くもり,0.0,97.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T22:00:00+09:00,2025-06-14T18:50:48.352279+09:00,15.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T23:00:00+09:00,2025-06-14T18:50:48.353702+09:00,15.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T00:00:00+09:00,2025-06-14T18:50:48.355140+09:00,15.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T01:00:00+09:00,2025-06-14T18:50:48.356506+09:00,14.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T02:00:00+09:00,2025-06-14T18:50:48.357948+09:00,14.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T03:00:00+09:00,2025-06-14T18:50:48.359722+09:00,14.0,,,cloudy,くもり,0.0,99.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T04:00:00+09:00,2025-06-14T18:50:48.361614+09:00,14.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T05:00:00+09:00,2025-06-14T18:50:48.363180+09:00,14.0,,,cloudy,くもり,0.0,98.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T06:00:00+09:00,2025-06-14T18:50:48.364715+09:00,14.0,,,cloudy,くもり,0.0,97.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T07:00:00+09:00,2025-06-14T18:50:48.366695+09:00,15.0,,,cloudy,くもり,0.0,96.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T08:00:00+09:00,2025-06-14T18:50:48.368299+09:00,17.0,,,cloudy,くもり,0.0,94.0,6.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T09:00:00+09:00,2025-06-14T18:50:48.370021+09:00,17.0,,,cloudy,くもり,0.0,93.0,7.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T10:00:00+09:00,2025-06-14T18:50:48.371687+09:00,18.0,,,cloudy,くもり,0.0,91.0,7.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T11:00:00+09:00,2025-06-14T18:50:48.373402+09:00,18.0,,,cloudy,くもり,0.0,91.0,6.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T12:00:00+09:00,2025-06-14T18:50:48.375157+09:00,18.0,,,cloudy,くもり,0.0,90.0,6.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T13:00:00+09:00,2025-06-14T18:50:48.377214+09:00,18.0,,,cloudy,くもり,0.0,90.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T14:00:00+09:00,2025-06-14T18:50:48.379074+09:00,18.0,,,cloudy,くもり,0.0,91.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T15:00:00+09:00,2025-06-14T18:50:48.381041+09:00,18.0,,,cloudy,くもり,0.0,91.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T16:00:00+09:00,2025-06-14T18:50:48.382844+09:00,17.0,,,cloudy,くもり,0.0,92.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T17:00:00+09:00,2025-06-14T18:50:48.384871+09:00,17.0,,,cloudy,くもり,0.0,92.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T18:00:00+09:00,2025-06-14T18:50:48.386845+09:00,16.0,,,cloudy,くもり,0.0,93.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T19:00:00+09:00,2025-06-14T18:50:48.388749+09:00,16.0,,,cloudy,くもり,0.0,95.0,3.0,"{'weather_code': '200', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T20:00:00+09:00,2025-06-14T18:50:48.390796+09:00,15.0,,,cloudy,くもり,0.0,96.0,2.0,"{'weather_code': '200', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T21:00:00+09:00,2025-06-14T18:50:48.393062+09:00,15.0,,,cloudy,くもり,0.0,96.0,2.0,"{'weather_code': '200', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T22:00:00+09:00,2025-06-14T18:50:48.395270+09:00,15.0,,,cloudy,くもり,0.0,97.0,2.0,"{'weather_code': '200', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T23:00:00+09:00,2025-06-14T18:50:48.397404+09:00,15.0,,,cloudy,くもり,0.0,97.0,2.0,"{'weather_code': '200', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T00:00:00+09:00,2025-06-14T18:50:48.399419+09:00,14.0,,,cloudy,くもり,0.0,98.0,1.0,"{'weather_code': '200', 'wind_direction': 'northwest', 'wind_direction_degrees': 315, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T01:00:00+09:00,2025-06-14T18:50:48.401563+09:00,14.0,,,cloudy,くもり,0.0,98.0,1.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T02:00:00+09:00,2025-06-14T18:50:48.403797+09:00,14.0,,,cloudy,くもり,0.0,98.0,1.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T03:00:00+09:00,2025-06-14T18:50:48.405965+09:00,14.0,,,cloudy,くもり,0.0,98.0,1.0,"{'weather_code': '200', 'wind_direction': 'southeast', 'wind_direction_degrees': 135, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T04:00:00+09:00,2025-06-14T18:50:48.408276+09:00,14.0,,,cloudy,くもり,0.0,98.0,1.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T05:00:00+09:00,2025-06-14T18:50:48.410931+09:00,14.0,,,cloudy,くもり,0.0,97.0,2.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T06:00:00+09:00,2025-06-14T18:50:48.413401+09:00,14.0,,,cloudy,くもり,0.0,97.0,2.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T07:00:00+09:00,2025-06-14T18:50:48.415771+09:00,15.0,,,cloudy,くもり,0.0,97.0,2.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T08:00:00+09:00,2025-06-14T18:50:48.418113+09:00,17.0,,,cloudy,くもり,0.0,96.0,2.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T09:00:00+09:00,2025-06-14T18:50:48.420470+09:00,18.0,,,cloudy,くもり,0.0,93.0,2.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T10:00:00+09:00,2025-06-14T18:50:48.422842+09:00,19.0,,,cloudy,くもり,0.0,93.0,2.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T11:00:00+09:00,2025-06-14T18:50:48.425200+09:00,19.0,,,cloudy,くもり,0.0,93.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T12:00:00+09:00,2025-06-14T18:50:48.427971+09:00,19.0,,,cloudy,くもり,0.0,92.0,0.0,"{'weather_code': '200', 'wind_direction': 'east', 'wind_direction_degrees': 90, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T13:00:00+09:00,2025-06-14T18:50:48.430813+09:00,20.0,,,cloudy,くもり,0.0,91.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T14:00:00+09:00,2025-06-14T18:50:48.433601+09:00,20.0,,,cloudy,くもり,0.0,90.0,2.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T15:00:00+09:00,2025-06-14T18:50:48.436421+09:00,20.0,,,cloudy,くもり,0.0,88.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T16:00:00+09:00,2025-06-14T18:50:48.439248+09:00,19.0,,,cloudy,くもり,0.0,89.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T17:00:00+09:00,2025-06-14T18:50:48.442094+09:00,19.0,,,cloudy,くもり,0.0,91.0,4.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T18:00:00+09:00,2025-06-14T18:50:48.445112+09:00,18.0,,,cloudy,くもり,0.0,94.0,5.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-14T00:00:00+09:00,2025-06-14T18:50:48.447946+09:00,19.0,,,partly_cloudy,くもり時々晴れ,0.0,0.0,0.0,"{'weather_code': '201', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-15T00:00:00+09:00,2025-06-14T18:50:48.450763+09:00,21.0,,,cloudy,晴れのちくもり,0.0,0.0,0.0,"{'weather_code': '111', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-16T00:00:00+09:00,2025-06-14T18:50:48.454055+09:00,18.0,,,cloudy,くもり,0.0,0.0,0.0,"{'weather_code': '200', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-17T00:00:00+09:00,2025-06-14T18:50:48.457229+09:00,18.0,,,rain,くもり一時雨,0.0,0.0,0.0,"{'weather_code': '202', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-18T00:00:00+09:00,2025-06-14T18:50:48.460492+09:00,18.0,,,cloudy,くもり,0.0,0.0,0.0,"{'weather_code': '200', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-19T00:00:00+09:00,2025-06-14T18:50:48.465014+09:00,19.0,,,partly_cloudy,晴れ時々くもり,0.0,0.0,0.0,"{'weather_code': '101', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-20T00:00:00+09:00,2025-06-14T18:50:48.468700+09:00,20.0,,,partly_cloudy,晴れ時々くもり,0.0,0.0,0.0,"{'weather_code': '101', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-21T00:00:00+09:00,2025-06-14T18:50:48.473200+09:00,20.0,,,cloudy,くもり,0.0,0.0,0.0,"{'weather_code': '200', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-22T00:00:00+09:00,2025-06-14T18:50:48.477646+09:00,19.0,,,cloudy,くもり,0.0,0.0,0.0,"{'weather_code': '200', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-23T00:00:00+09:00,2025-06-14T18:50:48.482056+09:00,18.0,,,rain,くもり一時雨,0.0,0.0,0.0,"{'weather_code': '202', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
稚内,2025-06-24T00:00:00+09:00,2025-06-14T18:50:48.486113+09:00,18.0,,,cloudy,くもり,0.0,0.0,0.0,"{'weather_code': '200', 'wind_direction': 'calm', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
