location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
那覇,2025-06-16T13:00:00+09:00,2025-06-15T17:28:06.310230+09:00,31.0,,,cloudy,うすぐもり,0.0,78.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-15T17:00:00+09:00,2025-06-15T17:28:06.316062+09:00,30.2,,,clear,晴れ,0.0,82.0,6.2,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-15T18:00:00+09:00,2025-06-15T17:28:06.318749+09:00,30.0,,,clear,晴れ,0.0,84.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-15T19:00:00+09:00,2025-06-15T17:28:06.322780+09:00,29.0,,,clear,晴れ,0.0,86.0,3.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-15T20:00:00+09:00,2025-06-15T17:28:06.327246+09:00,29.0,,,clear,晴れ,0.0,88.0,4.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-15T21:00:00+09:00,2025-06-15T17:28:06.329188+09:00,29.0,,,cloudy,うすぐもり,0.0,88.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-15T22:00:00+09:00,2025-06-15T17:28:06.335681+09:00,29.0,,,cloudy,うすぐもり,0.0,88.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-15T23:00:00+09:00,2025-06-15T17:28:06.337684+09:00,29.0,,,cloudy,うすぐもり,0.0,88.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T00:00:00+09:00,2025-06-15T17:28:06.339834+09:00,29.0,,,cloudy,うすぐもり,0.0,88.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T01:00:00+09:00,2025-06-15T17:28:06.343539+09:00,29.0,,,cloudy,うすぐもり,0.0,88.0,5.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T02:00:00+09:00,2025-06-15T17:28:06.346466+09:00,28.0,,,cloudy,うすぐもり,0.0,88.0,6.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T03:00:00+09:00,2025-06-15T17:28:06.349751+09:00,28.0,,,cloudy,うすぐもり,0.0,89.0,7.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T04:00:00+09:00,2025-06-15T17:28:06.352065+09:00,28.0,,,cloudy,うすぐもり,0.0,88.0,7.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T05:00:00+09:00,2025-06-15T17:28:06.353859+09:00,28.0,,,clear,晴れ,0.0,88.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T06:00:00+09:00,2025-06-15T17:28:06.355327+09:00,28.0,,,clear,晴れ,0.0,88.0,7.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T07:00:00+09:00,2025-06-15T17:28:06.357261+09:00,28.0,,,clear,晴れ,0.0,86.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T08:00:00+09:00,2025-06-15T17:28:06.360702+09:00,29.0,,,clear,晴れ,0.0,84.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T09:00:00+09:00,2025-06-15T17:28:06.362472+09:00,30.0,,,clear,晴れ,0.0,82.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T10:00:00+09:00,2025-06-15T17:28:06.365053+09:00,30.0,,,clear,晴れ,0.0,79.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T11:00:00+09:00,2025-06-15T17:28:06.367224+09:00,31.0,,,clear,晴れ,0.0,77.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T12:00:00+09:00,2025-06-15T17:28:06.368553+09:00,31.0,,,clear,晴れ,0.0,77.0,8.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T13:00:00+09:00,2025-06-15T17:28:06.370319+09:00,31.0,,,cloudy,うすぐもり,0.0,78.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T14:00:00+09:00,2025-06-15T17:28:06.371795+09:00,31.0,,,cloudy,うすぐもり,0.0,78.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
那覇,2025-06-16T15:00:00+09:00,2025-06-15T17:28:06.373682+09:00,31.0,,,cloudy,うすぐもり,0.0,79.0,8.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
