location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
銚子,2025-06-16T06:00:00+09:00,2025-06-15T17:48:57.991489+09:00,22.0,,,cloudy,くもり,0.0,89.0,2.0,"{'weather_code': '200', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
銚子,2025-06-15T17:00:00+09:00,2025-06-15T17:48:58.022770+09:00,25.1,,,cloudy,くもり,0.0,88.0,3.9,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
銚子,2025-06-15T18:00:00+09:00,2025-06-15T17:48:58.053156+09:00,25.0,,,cloudy,くもり,0.0,90.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
銚子,2025-06-15T19:00:00+09:00,2025-06-15T17:48:58.060456+09:00,24.0,,,cloudy,くもり,0.0,93.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
銚子,2025-06-15T20:00:00+09:00,2025-06-15T17:48:58.063898+09:00,24.0,,,cloudy,くもり,0.0,95.0,0.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
銚子,2025-06-15T21:00:00+09:00,2025-06-15T17:48:58.075677+09:00,24.0,,,cloudy,くもり,0.0,96.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
銚子,2025-06-15T22:00:00+09:00,2025-06-15T17:48:58.084470+09:00,24.0,,,cloudy,くもり,0.0,97.0,0.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
銚子,2025-06-15T23:00:00+09:00,2025-06-15T17:48:58.086925+09:00,23.0,,,cloudy,くもり,0.0,98.0,0.0,"{'weather_code': '200', 'wind_direction': 'north', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
銚子,2025-06-16T00:00:00+09:00,2025-06-15T17:48:58.087701+09:00,23.0,,,cloudy,うすぐもり,0.0,98.0,1.0,"{'weather_code': '600', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
銚子,2025-06-16T01:00:00+09:00,2025-06-15T17:48:58.088415+09:00,23.0,,,cloudy,うすぐもり,0.0,98.0,1.0,"{'weather_code': '600', 'wind_direction': 'northeast', 'wind_direction_degrees': 45, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
