location_name,forecast_datetime,cached_at,temperature,max_temperature,min_temperature,weather_condition,weather_description,precipitation,humidity,wind_speed,metadata
館山,2025-06-16T06:00:00+09:00,2025-06-15T17:48:58.713900+09:00,22.0,,,cloudy,くもり,0.0,95.0,1.0,"{'weather_code': '200', 'wind_direction': 'southwest', 'wind_direction_degrees': 225, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-15T17:00:00+09:00,2025-06-15T17:48:58.716480+09:00,25.8,,,clear,晴れ,0.0,87.0,5.8,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-15T18:00:00+09:00,2025-06-15T17:48:58.722109+09:00,25.0,,,clear,晴れ,0.0,92.0,3.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-15T19:00:00+09:00,2025-06-15T17:48:58.723552+09:00,25.0,,,clear,晴れ,0.0,92.0,3.0,"{'weather_code': '100', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-15T20:00:00+09:00,2025-06-15T17:48:58.724794+09:00,25.0,,,cloudy,うすぐもり,0.0,92.0,2.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-15T21:00:00+09:00,2025-06-15T17:48:58.739862+09:00,25.0,,,cloudy,うすぐもり,0.0,92.0,3.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-15T22:00:00+09:00,2025-06-15T17:48:58.749373+09:00,25.0,,,cloudy,うすぐもり,0.0,92.0,2.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-15T23:00:00+09:00,2025-06-15T17:48:58.755460+09:00,24.0,,,cloudy,くもり,0.0,92.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-16T00:00:00+09:00,2025-06-15T17:48:58.756974+09:00,24.0,,,cloudy,うすぐもり,0.0,93.0,1.0,"{'weather_code': '600', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-16T01:00:00+09:00,2025-06-15T17:48:58.758336+09:00,23.0,,,cloudy,くもり,0.0,94.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-16T02:00:00+09:00,2025-06-15T17:48:58.759567+09:00,23.0,,,cloudy,くもり,0.0,95.0,1.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
館山,2025-06-16T03:00:00+09:00,2025-06-15T17:48:58.761602+09:00,23.0,,,cloudy,くもり,0.0,95.0,0.0,"{'weather_code': '200', 'wind_direction': 'unknown', 'wind_direction_degrees': 0, 'pressure': None, 'visibility': None, 'uv_index': None, 'confidence': None}"
