地点名,緯度,経度
稚内,45.4166166,141.6771991
旭川,43.7627501,142.3579263
留萌,43.941029,141.6368171
札幌,43.0686365,141.3509218
岩見沢,43.2042912,141.759545
倶知安,42.9020963,140.7451832
網走,44.0201193,144.2542397
北見,43.8049279,143.8972642
紋別,42.802866,141.41406
根室,43.326823,145.5828156
釧路,42.9906837,144.3820381
帯広,42.9181018,143.2020215
室蘭,42.3178489,140.9757765
浦河,42.16833,142.76833
函館,41.7737872,140.7261884
江差,41.86917,140.12750
青森,40.8299549,140.7340975
むつ,41.0547594,140.9426405
八戸,40.5093889,141.4311833
盛岡,39.7014998,141.1365544
宮古,39.6398721,141.9475248
大船渡,39.08187,141.70851
秋田,39.7168833,140.1296657
横手,39.310336,140.5604929
仙台,38.2598541,140.8827459
白石,38.0030467,140.6263277
山形,38.2484701,140.3278031
米沢,37.9094604,140.1284431
酒田,38.9219999,139.8460919
新庄,38.762785,140.3056333
福島,37.75454,140.4592144
小名浜,36.9479972,140.8970702
若松,37.452005,139.976287
新潟,37.9122444,139.0613294
長岡,37.4478778,138.8541667
高田,37.110138,138.254660
相川,38.0193,138.1821
金沢,36.5780499,136.6480247
輪島,37.3905,136.8991
富山,36.7016199,137.2137572
伏木,36.7919531,137.0581675
福井,36.0621497,136.2239821
敦賀,35.645125,136.077948
東京,35.6768601,139.7638947
大島,34.745,139.4
八丈島,33.1024935,139.8076939
父島,27.070891,142.2095681
横浜,35.4654023,139.6201294
小田原,35.2561819,139.1552509
さいたま,35.8951196,139.630753
熊谷,36.1393423,139.389936
秩父,35.9985854,139.0859462
千葉,35.6137344,140.1125333
銚子,35.7296133,140.8274887
館山,34.9959209,139.8618906
水戸,36.370781,140.4762395
土浦,36.0779952,140.2060155
前橋,36.3832125,139.0726408
みなかみ,36.7430962,138.9773906
宇都宮,36.5592983,139.8981571
大田原,36.8712,140.0153
長野,36.6442745,138.1883615
松本,36.2307422,137.9641561
飯田,35.5196646,137.8211924
甲府,35.6670815,138.5693937
河口湖,35.5130603,138.7448243
名古屋,35.1706972,136.8816286
豊橋,34.7628472,137.3820903
静岡,34.9716389,138.3893389
網代,35.0437254,139.0812428
三島,35.1264176,138.9114761
浜松,34.7039437,137.7348528
岐阜,35.4094858,136.7569769
高山,36.1411162,137.2514373
津,34.733994,136.5102642
尾鷲,34.0747359,136.1901497
大阪,34.6937569,135.5014539
神戸,34.6792876,135.1781221
豊岡,35.5438596,134.8137147
京都,34.9853497,135.758766
舞鶴,35.47478,135.38596
奈良,34.6808117,135.8189414
風屋,34.0450775,135.7813853
大津,35.0030494,135.8648951
彦根,35.271688,136.2635485
和歌山,34.2322107,135.19158
潮岬,33.4377085,135.7549926
広島,34.3971315,132.4758818
庄原,35.2475454,134.0380703
岡山,34.6667504,133.9182664
津山,35.0545175,134.003275
下関,33.9493851,130.9217895
山口,34.1726129,131.4808245
柳井,33.9655672,132.1064873
萩,34.3938041,131.4010475
松江,35.4641755,133.0641645
浜田,34.9029749,132.088863
西郷,36.209020,133.321780
鳥取,35.4941164,134.2260086
米子,35.4236321,133.3370422
松山,33.8399303,132.7507395
新居浜,33.9479803,133.2943345
宇和島,33.2259262,132.5674255
高松,34.3434474,134.0489373
徳島,34.0746743,134.5513898
日和佐,33.7290455,134.5306322
高知,33.5673063,133.5436539
室戸岬,33.2435799,134.1768342
清水,32.78,133.01
福岡,33.60639,130.41806
八幡,33.863444,130.811863
飯塚,33.6286803,130.6895265
久留米,33.3206417,130.5014036
佐賀,33.2641754,130.2974729
伊万里,33.271839,129.8772734
長崎,32.7520765,129.868556
佐世保,33.1635722,129.7265004
厳原,34.2022882,129.288952
福江,32.693,128.827
大分,33.2327331,131.6060339
中津,33.5991951,131.1908891
日田,33.3168052,130.9384378
佐伯,32.9724755,131.9018836
熊本,32.7904721,130.688664
阿蘇乙姫,32.9333606,131.0413786
牛深,32.194,130.026
人吉,32.2159006,130.7532196
宮崎,31.9157601,131.4320258
都城,31.7365393,131.0744458
延岡,32.5900481,131.6724206
高千穂,32.714733,131.3066171
鹿児島,31.6020986,130.5641017
鹿屋,31.37827,130.85235
種子島,30.591848,130.9958948
名瀬,28.3772,129.4937
那覇,26.2122345,127.6791452
名護,26.5879515,127.9954004
久米島,26.341139,126.7890529
大東島,25.83333,131.23333
宮古島,24.813957,125.305579
石垣島,24.4710165,124.2385061
与那国島,24.455595,122.987606
