weather_comment,count
穏やかな空,73774
変わりやすい空,53161
スッキリしない空,40256
天気下り坂,37256
日差しが届いても,35018
冬晴れ,34790
お出かけ日和,34024
雲の多い空,30353
晴れたり曇ったり,29784
日差し届く,28430
穏やかな天気,27566
日差しが届く,25946
穏やかな晴天,22876
段々と雲増量,19974
雲優勢の空,19801
晴れても,18670
カラッと冬晴れ,17902
にわか雨が心配,17295
日差し届いても,16114
日差し届くが,15321
傘がお守り,14854
雲が優勢の空,14705
青空広がる,13711
天気は下り坂,12850
雲が主役の空,12737
ニワカ雨に注意,12689
日が差しても,12400
変わりやすい天気,11554
青空が広がる,11396
日差しの活用を,11084
雨が降ったり止んだり,10560
晴れていても,10213
ニワカ雨が心配,11063
段々と太陽登場,10685
気温ダウン,11033
真冬の寒さ,10675
日差し暖か,10335
お出かけＯＫ,9883
折り畳み傘がお守り,9813
段々と天気回復,9449
雲が多く,9216
空の変化に注意,8178
雪降る寒空,8522
強風に注意,7097
雲が優勢,7737
厳しい寒さ,7724
積雪増加に注意,6657
雪が降ったり止んだり,6950
洗濯日和,5674
すっきりしない空,5663
厚みを増す雲,5210
天気回復,5114
ドンヨリ空,4992
気持ちの良い空,3790
ゆっくり天気下り坂,4704
段々穏やかな空に,4646
天気回復へ,4443
パッとしない空,4026
空気は乾燥,3787
穏やかなクリスマス,3715
穏やかな週明け,3577
お出かけ問題なし,3546
お出かけバッチリ,3534
スッキリしない天気,3419
段々と天気回復へ,3087
朝は霧が心配,2082
天気急変に注意,1804
気温上昇,2744
穏やかな空でも,2698
気持ち良い空,1656
昼間は気温上昇,1638
朝は霧に注意,589
昼間は天気回復,1553
強風注意,1546
花粉の大量飛散に注意,1522
荒天に注意,1342
小春日和,2340
朝は足元に注意,192
年越しの準備バッチリ,1162
朝は霧注意,132
お出かけＯＫな空,2116
ヒンヤリ空気でも,2089
天気は回復傾向,2064
夜は天気急変に注意,63
午後は天気急変に注意,25
花粉飛散に注意,1023
昼は年越し準備が捗る天気,13
初詣日和,2010
朝は足もとに注意,3
昼間は心地良い体感,2
昼間は穏やかな空,997
日が差す事も,1974
季節外れの暖かさ,1941
強まる風に注意,916
季節の歩みを実感,1882
穏やかな冬空,1877
気持ち良い正月の空,861
路面状態に注意,856
年越し準備の外出ＯＫ,826
気持ち良い元日の空,819
