weather_comment,count
変わりやすい空,22777
スッキリしない空,15755
日差しが届いても,14925
穏やかな空,14534
厳しい残暑,13083
強雨や雷雨に注意,9733
にわか雨が心配,9131
雨が降ったり止んだり,8367
傘がお守り,8189
晴れたり曇ったり,8009
日差し届く,7480
雲の多い空,7471
ニワカ雨に注意,7418
お出かけＯＫ,7376
傘が必須,7196
変わりやすい天気,7172
雨が降りやすい空,7130
にわか雨に注意,6842
急な雨に注意,6787
強い日差し,6738
日差しが届く,6721
ニワカ雨が心配,6664
傘の出番,6640
スッキリ青空,6422
パッとしない空,6403
熱中症に注意,5970
秋晴れ,5914
日が差しても,5775
日差しが届いて,5756
天気下り坂,5738
強雨や雷に注意,4756
雷雨に注意,2018
ニワカ雨や雷雨注意,1854
お出かけ日和,5588
雲が多く,4733
雲が優勢の空,4729
天気急変に注意,3664
ムシムシ空気,4529
雲優勢の空,4220
秋空が広がる,4042
太陽サンサン,3897
行楽日和,3797
穏やかな晴天,3745
日差しに油断禁物,3703
台風接近,3695
気持ちの良い空,2022
すっきりしない空,2990
空の変化に注意,1751
コロコロ変わる空,2737
ツライ暑さ,2658
天気急変が心配,2572
段々と天気回復,2544
残暑が続く,2245
蒸し暑く,2244
気温ダウン,2164
昼間は快適,113
海はうねりに注意,104
昼間は快適だが,104
穏やかな天気,2086
午後は天気急変に注意,75
昼間は快適でも,30
穏やかな秋の空,2018
朝は霧に注意,15
昼間は快適に,13
夜は天気急変に注意,12
台風対策は午前中のうちに,4
台風一過,1963
カラッと爽やか,926
天気の急変に注意,697
爽やかな秋空,652
日が差す時間も,1633
秋の空気に包まれ,1630
気持ち良い秋の空,601
高波注意,496
昼間は外出ＯＫ,472
気持ち良い空,460
朝晩ひんやり,446
朝昼の気温差大,382
昼間はムシムシ,353
広がる秋の空,1349
秋桜映える空,1348
天気は下り坂,1335
連休最後も行楽日和,1320
カラッとした空気,1308
高波に注意,245
朝はひんやり,243
空気はカラッと,1241
日焼けに注意,234
朝はヒンヤリ,232
爽やかな空,230
昼間は行楽日和,222
長袖で快適,217
天気の変化に注意,189
一日の気温差に注意,188
天気回復,1170
天気回復へ,1155
折り畳みをお伴に,1151
朝は冷え込む,150
高波で海は危険,136
昼間でも肌寒い,129
