advice,count
熱中症対策を,39946
蒸し暑い,30266
熱中症に注意,26423
熱中症に警戒,18820
にわか雨が心配,16032
強雨や雷雨に注意,15093
ニワカ雨が心配,14438
熱中症に警戒を,14380
不快な蒸し暑さ,14209
ムシムシ暑い,14019
こまめに水分補給を,12848
こまめな水分補給を,12835
天気急変の可能性も,11945
熱中症対策を万全に,11495
過ごしやすい体感,11385
厳しい暑さ,10988
強雨や雷に注意,10719
熱中症に厳重警戒,10684
暑さ対策を,10682
急な雷雨に注意,10659
急な雨が心配,10249
不快なムシ暑さ,9384
熱中症に要警戒,9372
天気急変に注意,9315
急な雨に注意,8913
雷雨の可能性も,8168
天気急変が心配,8151
急な雷雨が心配,8136
強まる事も,7872
暑さは控えめ,7818
暑さや紫外線対策を,5463
一時的な強雨や雷に注意,4947
紫外線対策を,4919
段々と太陽は雲隠れ,468
日差しは雲の隙間から,451
風もやや強め,393
一時的な強雨に注意,4379
空の変化に注意,4307
太陽は雲の隙間から,133
冷たい風が吹く,80
風もやや強い,54
ニワカ雨に注意,7789
暑さと紫外線対策を,2666
不快な暑さ,7639
ムシムシ空気,7451
冷房の使用や塩分補給を,2318
朝は霧の発生に注意,126
昼夜の寒暖差に注意,31
天気急変にも注意,5663
雷を伴う可能性も,6568
