weather_comment,count
スッキリしない空,35823
変わりやすい空,33511
厳しい暑さ,32679
強い日差し,26493
熱中症に注意,22611
熱中症に警戒,22194
強雨や雷雨に注意,18144
雨が降りやすく,17045
日差しジリジリ,16489
厳しい残暑,15953
雲が優勢の空,15385
急な雨に注意,14979
雨の降りやすい空,14732
雨が降ったり止んだり,14568
ニワカ雨が心配,14308
天気急変に注意,13713
傘が必須,13090
ニワカ雨に注意,12841
日差しが届いても,12232
にわか雨が心配,11630
晴れて厳しい暑さ,10999
強雨や雷に注意,10673
強烈な日差し,10479
急な雨が心配,10315
夏空が広がる,10305
にわか雨に注意,10114
危険な暑さ,9934
厳しい暑さ続く,9629
雲の多い空,9461
パッとしない空,9316
太陽サンサン,9165
雲優勢の空,8772
天気下り坂,8586
晴れたり曇ったり,8528
傘の出番,8265
雨が心配な空,7952
夏空広がる,7771
変わりやすい天気,7696
熱中症警戒,7667
段々と太陽登場,7630
傘が活躍,7628
猛暑に警戒,7591
雲が主役の空,7560
穏やかな空,7019
厳しい蒸し暑さ,6581
お出かけ日和,6130
すっきりしない空,5185
台風接近,4300
空の変化に注意,2870
夏空が続く,3557
ムシムシ空気,3518
日が差しても,3226
夏バテに注意,2129
山の日ですが,1965
お出かけＯＫ,2885
ドンヨリ空,2862
天気の急変に注意,1825
天気急変が心配,2710
段々と天気回復,2514
カンカン照り,2355
朝晩は快適,161
気持ちの良い空,1158
夏空続く,2157
朝晩は快適でも,150
お出かけ問題なし,2143
午後ほど天気急変注意,126
朝は快適でも,91
海はうねりに注意,71
夏バテ注意,1062
朝晩と昼間の気温差に注意,54
午後は天気急変に要注意,50
朝は霧に注意,48
朝は霧の発生に注意,44
午後は天気急変に注意,34
７月最終日も夏空,2033
朝までは強風注意,30
沿岸は高波に注意,24
朝晩は霧に注意,21
海は高波注意,20
昼間は快適な体感,20
心地の良い海風,14
午前は荒天注意,10
夕方以降の荒天注意,8
沿岸は高波注意,8
海レジャーは要注意,7
昼間は快適,6
油断できない空,1879
洗濯チャンス,1877
暦の上では秋でも,1813
スッキリ回復せず,1687
海水浴日和,638
穏やかな天気,1606
昼夜問わず,585
お出かけ時は,1564
天気急変,1554
日焼けにご注意を,444
天気回復へ,1420
日が差す事も,1394
ツーリングも楽しめる,392
日焼けに注意,356
