weather_comment,count
穏やかな空,60910
お出かけ日和,39230
天気下り坂,38228
スッキリしない空,35872
変わりやすい空,29197
日差しが届く,28383
青空広がる,28239
穏やかな天気,27235
日差し届く,23858
日差しの活用を,21645
雲が優勢の空,20702
段々と雲増量,18853
にわか雨が心配,18271
晴れたり曇ったり,18017
日差しが届いても,17303
雲優勢の空,16835
青空が広がる,16793
段々と天気回復,16419
雲の多い空,15168
穏やかな晴天,14935
お出かけＯＫ,14265
ポカポカ陽気,14219
晴れて気温上昇,13592
春本番の陽気,13437
日差したっぷり,13137
強雨や雷雨に注意,12623
太陽サンサン,11914
晴れて穏やか,11739
日差しタップリ,11306
傘が活躍,11179
湿った大雪や暴風雪に警戒,21
湿った雪による積雪増加や強風注意,176
強風に注意,6013
湿った雪や雨が降る寒空,18
花粉飛散と夜の冷え込みに要注意,2009
紫外線対策や熱中症対策を万全に,1198
一日の寒暖差と花粉に注意,123
天気急変に注意,11052
熱中症に注意,4621
日差し届くが,10968
雲が主役の空,10634
春の陽気,10646
晴れても,10973
天気回復,9755
桜が映える空,9678
すっきりしない空,9381
季節先取りの暑さ,4068
天気は下り坂,8049
昼間は気温上昇,6652
朝は霧に注意,425
